FRED Abbreviation,Main Variable,Unit,Frequency,Source,Retrieved From,,,,,,,,,,,,,
A576RC1,"Compensation of Employees, Received: Wage and Salary Disbursements",$USD Billions,Monthly,U.S. Bureau of Economic Analysis,FRED,,,,,,,,,,,,,
AAA,Moody's Seasoned Aaa Corporate Bond Yield,Percent,Monthly,Moody's,FRED,,,,,,,,,,,,,
AMDMNOx,New Orders for Durable Goods,$USD Billions,Monthly,Federal Reserve Bank of St. Louis,FRED,,,,,,,,,,,,,
AMDMUOx,Unfilled Orders for Durable Goods,$USD Millions,Monthly,U.S. Census Bureau,FRED,,,,,,,,,,,,,
AWHMAN,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing",Hours,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
BAA,Moody's Seasoned Baa Corporate Bond Yield,Percent,Monthly,Moody's,FRED,,,,,,,,,,,,,
BAAFFM,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED,,,,,,,,,,,,,
BBKMLEIX,Brave-Butters-Kelley Leading Index,Standard Deviations,Monthly,Federal Reserve Bank of Chicago,FRED,,,,,,,,,,,,,
BCNSDODNS,"Nonfinancial Corporate Business: Debt securitites and loans; liability, level",$USD Billions,Quarterly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
BOGMBASE,Monetary Base,$USD Millions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
BOGZ1FL594090005Q,"Pension Funds; Total Financial Assets, Level",$USD Millions,Quartely,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
BUSINVx,Total Business: Inventories,$USD Millions,Monthly,U.S. Census Bureau,FRED,,,,,,,,,,,,,
BUSLOANS,Commercial and Industrial Loans,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
CE16OV,Civilian Employment,Thousands of Persons,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
CES0600000008,Average Hourly Earnings: Goods-Producing,$USD per hour,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
CES2000000008,Average Hourly Earnings: Construction,$USD per hour,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
CES3000000008,Average Hourly Earnings: Manufacturing ,$USD per hour,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
CIVPART,Labor Force Participation Rate,Percent,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
CLAIMSx,Initial Claims,Number,Monthly,U.S. Employment and Training Administration,FRED,,,,,,,,,,,,,
CLF16OV,Civilian Labor Force,Thousands of Persons,Monthly,U.S. Bureau of Labor Statistics,FRED,,,,,,,,,,,,,
CMDEBT,"Households and Nonprofit Organizations: Debt Securities and Loans; Liability, Level",$USD Billions,Quartely,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
CMRMTSPLx,Real Manufacturing and Trade Industries Sales,Millions of Chained 2012 Dollars,Monthly,Federal Reserve Bank of St. Louis,FRED,,,,,,,,,,,,,
COMPAPFFx,3-Month Commercial Paper Minus FEDFUNDS,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED,,,,,,,,,,,,,
CONSPIx,Nonrevolving Consumer Credit to Personal Income,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED,,,,,,,,,,,,,
