Date,BCNSDODNS,BOGZ1FL594090005Q,CP,EXPGS,GDPC1,GPDI,HCCDODNS,IMPGS,NETEXP,W068RCQ027SBEA,Y694RC1Q027SBEA
01/01/1960,139.269,270717,34.614,26.145,3277.847,96.476,58.07,23.288,2.858,144.233,12.163
04/01/1960,141.908,276994,32.312,26.85,3260.177,87.096,59.599,23.455,3.395,147.417,12.572
07/01/1960,143.163,282548,31.023,27.561,3276.133,86.377,60.582,22.879,4.682,150.459,12.841
10/01/1960,145.592,288527,29.922,27.622,3234.087,75.963,61.248,21.742,5.88,153.78,13.061
01/01/1961,146.194,294406,29.223,27.56,3255.914,78.378,61.669,21.658,5.902,157.254,13.352
04/01/1961,148.192,300356,30.671,26.627,3311.181,84.108,61.54,21.899,4.727,160.737,13.751
07/01/1961,149.68,305995,32.317,27.779,3374.742,90.917,62.079,23.326,4.453,162.661,14.115
10/01/1961,152.987,311781,34.595,28.442,3440.924,92.931,63.435,23.87,4.572,166.344,14.442
01/01/1962,154.533,314902,35.196,28.325,3502.298,98.074,64.323,24.314,4.01,170.892,14.736
04/01/1962,157.69,317631,35.166,29.662,3533.947,96.706,66.34,24.884,4.777,173.125,15.143
07/01/1962,160.11,321158,36.205,29.593,3577.362,98.16,67.648,25.111,4.482,175.597,15.583
10/01/1962,163.466,325130,37.066,28.683,3589.128,94.968,69.344,25.55,3.133,178.206,16.109
01/01/1963,165.589,330551,36.708,29.161,3628.306,99.689,71.309,25.185,3.976,179.393,16.748
04/01/1963,167.94,336729,38.652,31.448,3669.02,101.65,73.129,25.89,5.558,180.369,17.35
07/01/1963,170.148,342580,39.653,31.215,3749.681,104.612,75.44,26.704,4.511,184.862,17.892
10/01/1963,174.184,348662,40.688,32.474,3774.264,107.189,77.87,26.764,5.711,186.792,18.329
01/01/1964,176.585,355176,44.409,34.192,3853.835,110.474,80.555,26.978,7.213,190.075,18.729
04/01/1964,179.976,362244,44.397,34.03,3895.793,110.518,82.769,27.726,6.305,192.97,19.121
07/01/1964,183.446,369110,45.512,35.375,3956.657,112.631,85.288,28.429,6.946,193.295,19.458
10/01/1964,187.925,376113,45.174,36.48,3968.878,114.984,87.352,29.285,7.195,192.973,19.768
01/01/1965,193.186,383330,50.699,32.969,4064.915,126.542,90.344,28.457,4.512,196.198,20.121
04/01/1965,197.972,391089,52.574,38.367,4116.267,127.052,93.294,31.679,6.688,200.088,20.544
07/01/1965,202.867,399513,53.517,37.551,4207.782,131.237,95.625,32.03,5.521,208.98,21.048
10/01/1965,208.193,407945,56.577,39.698,4304.731,133.752,97.489,33.948,5.75,214.261,21.691
01/01/1966,214.562,416767,58.118,39.356,4409.518,144.2,100.006,34.99,4.367,221.114,22.375
04/01/1966,222.357,426329,58.576,40.872,4424.581,143.501,101.373,36.24,4.632,227.479,23.006
07/01/1966,228.547,435243,58.397,40.857,4462.053,143.194,102.281,38.171,2.687,235.644,23.555
10/01/1966,232.924,445589,57.517,42.594,4498.66,145.855,103.422,38.829,3.765,243.763,23.987
01/01/1967,239.687,456136,55.152,43.886,4538.498,142.811,104.389,39.432,4.453,255.415,24.324
04/01/1967,246.045,466661,55.258,43.239,4541.28,137.495,105.421,39.02,4.219,256.922,24.64
07/01/1967,251.64,477293,56.54,42.845,4584.246,142.835,106.874,39.543,3.302,264.199,25.012
10/01/1967,255.245,487543,59.497,43.896,4618.812,147.653,108.567,41.652,2.244,268.385,25.422
01/01/1968,263.575,498981,58.82,45.452,4713.013,152.288,110.508,44.399,1.054,277.111,25.898
04/01/1968,270.242,513385,60.526,47.165,4791.758,158.943,112.911,45.416,1.749,286.708,26.36
07/01/1968,277.803,526800,61.024,49.891,4828.892,155.683,115.599,48.24,1.65,292.215,26.812
10/01/1968,286.074,540886,62.599,49.116,4847.885,160.76,119.324,48.17,0.945,298.982,27.287
01/01/1969,294.256,554457,61.994,44.042,4923.76,172.388,122.479,43.804,0.239,300.566,27.719
04/01/1969,303.762,569503,60.335,53.775,4938.728,172.721,125.419,52.671,1.104,307.101,28.102
07/01/1969,312.057,584562,58.634,53.596,4971.349,177.564,127.326,52.365,1.231,313.917,28.366
10/01/1969,318.879,600344,57.815,56.275,4947.104,171.573,129.231,53.126,3.149,318.243,28.472
01/01/1970,338.845,620127,55.323,57.031,4939.759,168.113,130.53,53.517,3.514,325.878,28.366
04/01/1970,349.44,635158,55.194,60.411,4946.77,171.455,131.338,55.204,5.207,339.049,28.256
07/01/1970,357.036,654949,56.132,60.519,4992.357,173.904,132.924,56.431,4.088,346.412,28.306
10/01/1970,363.384,674229,53.35,60.873,4938.857,166.754,133.66,57.888,2.985,354.25,28.311
01/01/1971,370.45,695187,60.152,63.221,5072.996,189.495,138.226,58.651,4.57,358.566,28.613
04/01/1971,378.234,715334,62.42,62.894,5100.447,197.329,141.017,63.296,-0.401,373.206,28.941
07/01/1971,386.805,735915,66.544,65.717,5142.422,202.058,144.77,65.482,0.236,377.132,29.271
10/01/1971,392.236,757662,68.735,60.019,5154.547,198.411,149.243,61.939,-1.92,383.306,29.736
01/01/1972,403.333,781822,72.785,68.639,5249.337,212.968,153.38,72.173,-3.534,399.428,30.424
04/01/1972,411.26,806381,73.825,67.152,5368.485,226.798,158.564,71.409,-4.258,403.929,30.985
07/01/1972,420.54,831135,77.004,71.453,5419.184,233.09,162.799,74.09,-2.638,404.908,31.47
10/01/1972,431.815,857113,83.484,76.129,5509.926,239.715,168.757,79.19,-3.061,419.285,32.157
